Model,WordEmbedding,Precision,Recall,F1-Score
MultinomialNB,TFidf,0.7551589602120572,0.5877562415844391,0.5659991782209256
LogisticRegression,TFidf,0.7451975232522576,0.5907883048275875,0.5719725340115798
RandomForestClassifier,TFidf,0.8029382598729071,0.5610303149328493,0.5157822201469722
MultinomialNB,Glove,0.325184716767623,0.5,0.3940750599955634
LogisticRegression,Glove,0.7226585643807378,0.6093452103207937,0.6030125929953066
RandomForestClassifier,Glove,0.7209240035559541,0.5964864499375372,0.5837812481070337
MultinomialNB,Word2Vec,0.7617879580319409,0.5010527578902008,0.3965017668464776
LogisticRegression,Word2Vec,0.7345611753542906,0.6161083491547483,0.6116437781125204
MultinomialNB,Hash,0.325184716767623,0.5,0.3940750599955634
LogisticRegression,Hash,0.6799906160390181,0.5601400596814455,0.5281926276442586
RandomForestClassifier,Word2Vec,0.7205217447588705,0.6125591511285866,0.6079050030848332
RandomForestClassifier,Hash,0.7710510487680182,0.5262344887027827,0.45107225165507225
