Model,WordEmbedding,Precision,Recall,F1-Score
MultinomialNB,Hash,0.0,0.0,0.0
SVC,Hash,0.3575210129898483,0.6235602094240837,0.45446976792590277
LogisticRegression,Hash,0.6799276672694394,0.16106615897191814,0.260437911263324
RandomForestClassifier,Hash,0.9023136246786633,0.050118990956687294,0.09496325021418588
MultinomialNB,Glove,0.0,0.0,0.0
MultinomialNB,Glove,0.0,0.0,0.0
SVC,Glove,0.34949111322106174,0.9986197049024275,0.5177745147637673
LogisticRegression,Glove,0.7385315139701104,0.27049024274155165,0.39595889217906294
RandomForestClassifier,Glove,0.7389328642626796,0.2399333650642551,0.36224489795918363
MultinomialNB,Word2Vec,0.8727272727272727,0.0022846263683960017,0.0045573225729883685
MultinomialNB,TFidf,0.8163066744502822,0.19966682532127558,0.32085356992619224
SVC,Word2Vec,0.3496419450147729,0.9969538315088053,0.5177156839724656
LogisticRegression,Word2Vec,0.7581101956745623,0.2802950975725845,0.4092709708805337
RandomForestClassifier,Word2Vec,0.7324381449707821,0.28039029033793433,0.4055347124221251
SVC,TFidf,0.41150870406189555,0.5265587815326035,0.4619785359335199
LogisticRegression,TFidf,0.7945131791285638,0.21089957163255593,0.3333207958776846
RandomForestClassifier,TFidf,0.9238374221896741,0.12008567348881485,0.2125437007708184
