Model,WordEmbedding,Precision,Recall,F1-Score
MultinomialNB,TFidf,0.8182579564489112,0.18645038167938932,0.30369909853901156
SVC,TFidf,0.3771558095988962,0.7303435114503817,0.4974328979008254
LogisticRegression,TFidf,0.7989172467130704,0.19713740458015266,0.31624062452165924
RandomForestClassifier,TFidf,0.908843537414966,0.12748091603053435,0.22359832635983265
MultinomialNB,Hash,0.0,0.0,0.0
SVC,Hash,0.3726326820869826,0.4738695859114707,0.4171974522292994
LogisticRegression,Hash,0.6762547113667923,0.16225606853879104,0.26171740048366665
RandomForestClassifier,Hash,0.8354978354978355,0.06430271299381247,0.11941485835506253
MultinomialNB,Glove,0.0,0.0,0.0
SVC,Glove,0.349507934657719,0.9990004759638268,0.5178441459112048
LogisticRegression,Glove,0.7400932400932401,0.272013326987149,0.3978142837254629
RandomForestClassifier,Glove,0.7403452311293154,0.24088529271775344,0.363499245852187
